CODE,DOMES_Number,Site_Name,Plate,Technique,Longitude_deg,Latitude_deg,Ve_mm_yr,Vn_mm_yr,Se_mm_yr,Sn_mm_yr,Re_mm_yr,Rn_mm_yr
NEWL,13273M103,Bartinney,Eurasia,P,354.457,50.103,15.89,16.55,0.059,0.079,-0.281,0.137
BELL,13431M001,Bellmunt de sega,Eurasia,P,1.401,41.600,19.62,16.22,0.090,0.114,-0.162,-0.038
SJDV,10090M001,Saint-jean-des-v,Eurasia,P,4.677,45.879,19.50,16.05,0.032,0.037,0.137,0.066
HRM1,13235S001,Hermitage,Eurasia,P,358.716,51.454,16.60,16.49,0.039,0.050,-0.073,0.238
UZHL,12301M001,Uzhgorod,Eurasia,P,22.298,48.632,21.99,13.78,0.053,0.067,0.017,-0.173
ARTU,12362M001,Arti,Eurasia,P,58.560,56.430,25.30,6.03,0.024,0.025,0.026,-0.069
AJAC,10077M005,Ajaccio,Eurasia,P,8.763,41.927,21.02,15.73,0.041,0.045,0.024,0.023
DARE,13208S001,Daresbury,Eurasia,P,357.360,53.345,15.73,16.58,0.063,0.084,-0.076,0.299
EIJS,13533M001,Eijsden,Eurasia,P,5.684,50.758,17.95,15.90,0.034,0.040,-0.371,0.065
CACE,13447M001,Caceres,Eurasia,P,353.658,39.479,18.46,16.97,0.069,0.082,-0.458,0.381
BUDP,10101M003,Copenhaguen,Eurasia,P,12.500,55.739,18.11,14.94,0.025,0.029,-0.263,-0.175
NPLD,13234M003,Teddington,Eurasia,P,359.660,51.421,17.21,16.20,0.141,0.199,0.327,-0.006
CAGL,12725M003,Cagliari,Eurasia,P,8.973,39.136,21.53,15.94,0.031,0.031,-0.042,0.213
BOGO,12207M002,Borowa gora,Eurasia,P,21.035,52.476,20.64,14.32,0.029,0.033,-0.254,0.241
SULP,12366M001,Lviv,Eurasia,P,24.014,49.836,21.70,13.91,0.046,0.057,-0.313,0.235
LROC,10023M001,La rochelle,Eurasia,P,358.781,46.159,18.27,16.39,0.025,0.025,0.107,0.065
OPMT,10001S006,Paris,Eurasia,P,2.335,48.836,18.21,15.96,0.030,0.034,0.059,-0.141
PTBB,14234M001,Braunschweig,Eurasia,P,10.460,52.296,18.96,15.53,0.034,0.043,0.079,0.146
MIKL,12335M001,Mykolaiv,Eurasia,P,31.973,46.973,23.50,12.26,0.052,0.068,-0.327,-0.076
VLNS,10801M001,Vilnius,Eurasia,P,25.299,54.653,21.07,13.55,0.043,0.058,-0.096,0.163
NICE,10012M001,Nice,Eurasia,P,7.300,43.726,20.56,15.82,0.045,0.049,0.204,0.005
HEAU,10055M004,Flottemanville,Eurasia,P,358.222,49.581,17.28,16.20,0.117,0.138,0.171,-0.103
TITZ,14278M001,Titz-jackerath,Eurasia,P,6.432,51.035,18.31,15.65,0.080,0.103,-0.084,-0.122
WARE,13114M001,Waremme,Eurasia,P,5.245,50.690,18.39,15.67,0.035,0.043,0.145,-0.196
REDU,13102M001,Redu,Eurasia,P,5.145,50.002,18.32,15.76,0.046,0.058,-0.090,-0.126
SHEE,13236M001,Sheerness,Eurasia,P,0.743,51.446,16.72,16.56,0.095,0.121,-0.382,0.414
SABL,10063M001,Sables d olonne,Eurasia,P,358.194,46.530,17.97,16.00,0.111,0.126,0.021,-0.346
GROI,10064M001,Pen men - groix,Eurasia,P,356.492,47.648,16.95,16.07,0.125,0.144,-0.344,-0.322
